Rank,Anglex,Angley,Anglez,Transi,Transj,Transk,total,rPSC,rPSC_gain,rPSC_penalty,ELEC ,RecACE,LCARMSD,NearNat
47, 2.617994,1.014500,0.906702,5,116,101,3582.686523,3382.000000,4822.000000,-1440.000000,161.164246,39.522095,20.813858,0
48, -0.261799,2.343981,-1.040456,110,109,99,3581.839844,3283.000000,4093.000000,-810.000000,61.640137,237.199768,36.767693,0
49, 0.785398,1.870545,-2.976234,0,14,111,3579.479980,3151.000000,5986.000000,-2835.000000,119.930908,308.549042,40.775414,0
50, 0.785398,1.440580,2.260026,5,111,99,3578.464355,3090.000000,4755.000000,-1665.000000,69.315094,419.149261,19.793268,0
51, 2.094395,1.195355,1.200319,117,1,98,3573.886230,2875.000000,4990.000000,-2115.000000,254.875244,444.011047,29.025297,0
52, -2.356194,2.588535,-2.976617,1,117,93,3570.635254,3190.000000,3910.000000,-720.000000,57.180267,323.455017,22.179331,0
53, -0.785398,0.496451,0.593859,6,110,100,3567.549805,3201.000000,4416.000000,-1215.000000,71.540466,295.009216,19.670246,0
54, -0.785398,0.831641,0.616218,118,6,98,3566.486084,3357.000000,5967.000000,-2610.000000,-53.732605,263.218750,30.242973,0
55, 0.523599,2.719179,-1.780644,6,114,94,3559.654541,3056.000000,6071.000000,-3015.000000,152.715179,350.939514,16.166403,0
56, -0.261799,0.700570,1.559208,118,117,98,3557.439941,3237.000000,5262.000000,-2025.000000,231.962769,88.477020,26.911579,0
57, 2.094395,1.184361,0.625864,115,114,104,3556.047119,3161.000000,5861.000000,-2700.000000,185.089233,209.957748,32.838215,0
58, -2.879793,1.554776,0.100351,11,114,108,3554.908691,3434.000000,5009.000000,-1575.000000,181.256653,-60.347961,22.451307,0
59, 1.308997,0.297065,2.160177,10,18,108,3552.591797,3566.000000,5546.000000,-1980.000000,247.988831,-261.396973,36.712593,0
60, 1.832596,0.203748,0.590255,4,116,101,3551.909424,3259.000000,5914.000000,-2655.000000,-3.225586,296.135101,21.805223,0
61, -0.785398,2.251330,-2.330739,5,116,94,3550.064697,3125.000000,5060.000000,-1935.000000,-39.937500,465.002258,17.481289,0
62, 0.785398,1.721184,-0.153948,15,119,94,3548.283203,3108.000000,3828.000000,-720.000000,180.429504,259.853729,8.390197,0
63, -1.047198,0.831641,0.616218,118,6,98,3543.588379,3356.000000,6281.000000,-2925.000000,58.960083,128.628326,30.242973,0
64, 1.832596,1.870545,-2.976234,7,112,95,3543.269531,3177.000000,4032.000000,-855.000000,-7.923828,374.193420,15.527444,0
65, -1.570796,2.349581,-2.702517,2,118,93,3539.025635,3157.000000,5002.000000,-1845.000000,5.225037,376.800598,21.228947,0
66, -1.570796,0.674054,1.013609,116,5,97,3538.583496,3314.000000,4169.000000,-855.000000,-3.210510,227.793869,31.487003,0
67, 0.523599,0.203748,0.590255,113,116,103,3527.293945,3182.000000,5792.000000,-2610.000000,18.807373,326.486542,34.535328,0
68, -0.785398,0.379747,-1.713059,3,19,115,3523.753906,3397.000000,4972.000000,-1575.000000,201.119415,-74.365540,45.642403,0
69, 1.308997,2.180315,-1.357379,0,16,97,3522.909424,3792.000000,6132.000000,-2340.000000,19.107849,-288.198578,35.572235,0
70, 2.356194,0.419640,2.974122,3,15,104,3522.215088,3977.000000,6002.000000,-2025.000000,-128.116760,-326.668121,35.204216,0
71, 1.570796,0.866395,-2.492918,14,115,98,3518.642090,3315.000000,4755.000000,-1440.000000,46.146118,157.496140,10.329989,0
72, 1.047198,2.881233,-2.582574,1,111,93,3518.590820,3080.000000,4430.000000,-1350.000000,86.725586,351.865295,22.239307,0
73, -1.047198,1.488617,1.159546,1,108,99,3512.498779,3078.000000,5238.000000,-2160.000000,372.417664,62.081146,24.865015,0
74, 2.094395,1.335669,0.897240,115,114,104,3509.918701,3003.000000,5073.000000,-2070.000000,249.312622,257.606140,32.838215,0
75, -1.047198,2.349581,-2.702517,9,118,96,3509.108643,3388.000000,5278.000000,-1890.000000,-16.622742,137.731415,14.277520,0
76, -3.141593,2.063651,-2.044600,4,117,92,3508.572266,3246.000000,5766.000000,-2520.000000,10.657349,251.915161,18.548834,0
77, -1.570796,2.138223,1.678323,113,10,95,3506.343750,3320.000000,5840.000000,-2520.000000,162.313232,24.030457,36.999199,0
78, -1.570796,2.108018,1.311430,113,12,96,3504.181641,3547.000000,5797.000000,-2250.000000,13.943909,-56.762268,38.450523,0
79, 0.261799,0.685216,-1.712745,11,111,99,3504.384521,3557.000000,5627.000000,-2070.000000,118.130981,-170.746399,14.097827,0
80, -0.523599,1.335669,0.897240,1,10,100,3502.469238,3628.000000,5518.000000,-1890.000000,26.247131,-151.777740,30.810581,0
81, -1.832596,2.108018,1.311430,114,13,96,3494.437744,3618.000000,5598.000000,-1980.000000,43.776123,-167.338425,38.175236,0
82, 1.047198,1.756530,-2.105156,114,1,91,3491.061279,3097.000000,4042.000000,-945.000000,77.788605,316.272736,31.302389,0
83, -2.617994,1.569311,-3.003978,0,18,98,3489.659424,3546.000000,4851.000000,-1305.000000,119.085144,-175.425705,37.619244,0
84, 1.308997,0.458961,-0.107937,113,116,103,3485.827637,2829.000000,5214.000000,-2385.000000,338.851685,317.976166,34.535328,0
85, -0.523599,0.992645,-1.723759,118,111,95,3482.720703,3152.000000,4502.000000,-1350.000000,192.946136,137.774780,26.092957,0
86, 0.523599,1.909857,-0.381669,14,117,93,3481.685303,3190.000000,4045.000000,-855.000000,74.362854,217.322601,7.415029,0
87, -2.356194,1.218453,2.777284,17,15,109,3477.052979,3185.000000,4535.000000,-1350.000000,63.615494,228.437515,33.020355,0
88, -0.261799,0.591903,2.010408,2,115,100,3476.546387,3052.000000,6742.000000,-3690.000000,363.772522,60.773804,23.191835,0
89, 1.832596,1.014500,0.906702,116,114,103,3472.357178,3001.000000,4891.000000,-1890.000000,275.583679,195.773483,31.219629,0
90, -0.785398,2.724429,-0.348782,110,4,91,3471.609131,3015.000000,4455.000000,-1440.000000,101.231201,355.377869,36.945244,0
91, -1.308997,2.478122,2.609777,115,20,114,3470.058105,3318.000000,5928.000000,-2610.000000,110.627563,41.430542,50.534725,0
92, 0.000000,0.914445,2.687814,0,113,98,3469.308594,2835.000000,4275.000000,-1440.000000,294.775818,339.532684,24.460325,0
93, 0.261799,0.379747,-1.713059,14,112,101,3469.083740,2975.000000,5000.000000,-2025.000000,160.522034,333.561859,13.577011,0
94, -1.832596,1.367556,0.358405,4,112,97,3466.314453,3072.000000,3657.000000,-585.000000,182.238739,212.075562,19.673271,0
95, 2.094395,2.984978,1.954446,12,115,96,3463.656006,3193.000000,5218.000000,-2025.000000,69.863800,200.792297,10.424350,0
96, -3.141593,1.606104,-0.451151,1,117,93,3462.572266,3266.000000,3986.000000,-720.000000,-0.844055,197.416367,22.179331,0
97, -3.141593,1.870545,-2.976234,20,1,103,3455.839600,3412.000000,4897.000000,-1485.000000,26.686066,17.153473,16.432224,0
98, -2.617994,0.910508,1.903534,117,4,97,3452.878906,3211.000000,5191.000000,-1980.000000,-60.114685,301.993744,29.939007,0
99, 0.785398,2.579248,-2.364801,5,113,93,3452.614502,3038.000000,4073.000000,-1035.000000,39.736420,374.878174,17.201622,0
100, -0.261799,1.391910,3.030322,0,114,96,3447.585449,3111.000000,4911.000000,-1800.000000,46.049469,290.536011,23.724272,0
101, 1.570796,2.719179,-1.780644,4,112,93,3439.053955,3145.000000,4720.000000,-1575.000000,38.157227,255.896637,18.517853,0
102, -2.617994,1.450119,-2.739050,119,18,98,3436.164551,3443.000000,5243.000000,-1800.000000,152.186371,-159.021622,38.364811,0
103, 0.523599,2.115563,0.685730,8,113,95,3434.390625,3154.000000,6079.000000,-2925.000000,-175.404114,455.794708,14.238218,0
104, 1.308997,0.619654,-2.216909,15,116,99,3430.455566,3063.000000,5403.000000,-2340.000000,106.951050,260.504272,10.874072,0
105, 0.523599,0.910508,1.903534,9,3,97,3421.224365,3156.000000,4326.000000,-1170.000000,269.031525,-3.807175,17.623255,0
106, -1.308997,0.700570,1.559208,119,4,97,3418.537598,3140.000000,4265.000000,-1125.000000,10.114227,268.423401,27.828093,0
107, -2.617994,1.506530,1.988858,4,118,100,3417.090332,2979.000000,6219.000000,-3240.000000,-82.280762,520.370972,21.563583,0
108, 0.000000,0.850607,-1.335383,14,113,100,3414.778076,3343.000000,5188.000000,-1845.000000,165.900574,-94.122650,12.357180,0
109, 2.879793,1.413347,-1.339188,14,115,102,3411.604004,3132.000000,5967.000000,-2835.000000,207.617493,71.986694,14.437282,0
110, 1.308997,2.881233,-2.582574,10,111,96,3411.333984,3336.000000,4596.000000,-1260.000000,65.987244,9.346680,13.000952,0
111, -0.523599,2.979456,-1.009304,109,14,108,3409.934814,2846.000000,5006.000000,-2160.000000,355.424927,208.510117,47.810234,0
112, 0.000000,2.455966,-0.641220,112,110,96,3408.129639,3112.000000,3967.000000,-855.000000,28.661133,267.468475,33.488850,0
113, -2.879793,1.134796,2.434290,116,2,97,3407.867432,3203.000000,4463.000000,-1260.000000,-50.848816,255.716354,30.177526,0
114, 0.261799,0.914445,2.687814,1,112,98,3403.513672,2910.000000,3405.000000,-495.000000,165.488159,328.025482,23.437164,0
115, -1.570796,0.700570,1.559208,118,4,97,3402.364502,3335.000000,4280.000000,-945.000000,-178.341232,245.705750,28.877911,0
116, 2.356194,0.906588,1.252948,4,116,100,3394.786133,3026.000000,4106.000000,-1080.000000,185.514008,183.272217,21.180090,0
117, 1.570796,0.297065,2.160177,1,20,116,3394.732910,3193.000000,4723.000000,-1530.000000,-31.052734,232.785599,48.220303,0
118, -1.047198,0.080730,-2.622036,6,115,101,3393.763672,3145.000000,4225.000000,-1080.000000,93.475098,155.288574,19.747652,0
119, 0.523599,1.977582,0.969896,12,114,96,3392.534668,2836.000000,4861.000000,-2025.000000,132.041199,424.493408,10.376464,0
120, -0.261799,0.899350,-2.069907,113,114,94,3386.056885,2835.000000,4050.000000,-1215.000000,181.341156,369.715729,31.588188,0
121, 0.000000,2.984978,1.954446,10,112,95,3385.132568,3155.000000,4190.000000,-1035.000000,22.611633,207.520996,12.202832,0
122, -1.832596,2.153910,-1.714959,106,16,107,3384.093262,3102.000000,4857.000000,-1755.000000,427.064575,-144.971085,51.307819,0
123, -1.047198,0.418037,1.360082,116,4,98,3381.142578,2940.000000,5235.000000,-2295.000000,58.850800,382.291809,31.302820,0
124, -1.832596,0.297065,2.160177,114,3,98,3374.626221,2960.000000,4175.000000,-1215.000000,133.182465,281.443878,33.048042,0
125, -3.141593,2.073035,2.027405,8,117,97,3373.819824,3081.000000,3711.000000,-630.000000,70.920959,221.898819,15.501415,0
126, 0.261799,2.089241,-0.114193,3,113,93,3374.052246,3025.000000,4555.000000,-1530.000000,106.956451,242.095657,19.577469,0
127, -2.617994,1.218453,2.777284,22,6,111,3372.543213,3018.000000,4008.000000,-990.000000,87.955048,266.588074,27.926138,0
128, -2.617994,1.310100,1.488307,3,116,100,3369.604004,3115.000000,5230.000000,-2115.000000,-81.895447,336.499512,22.219965,0
