Rank,Anglex,Angley,Anglez,Transi,Transj,Transk,total,rPSC,rPSC_gain,rPSC_penalty,ELEC ,RecACE,LCARMSD,NearNat
363, -1.832596,0.831641,0.616218,115,8,97,3086.210205,2900.000000,4790.000000,-1890.000000,7.935211,178.274841,34.150703,0
364, -3.141593,1.741644,-2.695914,19,1,100,3085.402832,2849.000000,4379.000000,-1530.000000,94.660370,141.742554,13.409474,0
365, 1.308997,0.914445,2.687814,2,19,116,3085.053223,2731.000000,4441.000000,-1710.000000,145.166565,208.886612,46.918140,0
366, -3.141593,1.195355,1.200319,13,0,103,3085.049805,2902.000000,4117.000000,-1215.000000,-68.829956,251.879990,17.480770,0
367, 2.879793,0.960688,-0.577532,17,117,108,3084.645752,2675.000000,4070.000000,-1395.000000,-46.630676,456.276337,20.648098,0
368, 2.356194,0.618092,2.539118,3,12,100,3083.697998,3135.000000,4710.000000,-1575.000000,-90.358154,39.056122,30.780226,0
369, -0.785398,2.115563,0.685730,111,115,92,3082.659180,2651.000000,3416.000000,-765.000000,214.316711,217.342529,33.834415,0
370, -1.047198,2.579248,-2.364801,7,119,93,3081.126953,2648.000000,4493.000000,-1845.000000,24.501434,408.625366,15.872313,0
371, 2.617994,1.555207,1.708892,115,117,100,3080.322021,2786.000000,3551.000000,-765.000000,44.794556,249.527496,31.067818,0
372, 1.570796,0.496451,0.593859,118,119,98,3079.229980,2788.000000,4273.000000,-1485.000000,101.255890,189.974228,27.320055,0
373, 1.308997,1.948085,-2.363031,9,110,94,3078.840088,2829.000000,3459.000000,-630.000000,-17.704788,267.544983,13.613822,0
374, 0.523599,1.374601,-2.456031,9,113,95,3078.750732,2787.000000,3777.000000,-990.000000,-38.781464,330.532166,13.114723,0
375, -1.047198,1.025536,1.576859,4,7,98,3078.457031,2958.000000,4308.000000,-1350.000000,-82.057129,202.514038,25.223183,0
376, 1.308997,1.658653,-2.409879,115,117,92,3078.425293,2812.000000,3757.000000,-945.000000,5.909363,260.515991,29.221844,0
377, 1.570796,1.045978,0.343692,10,0,96,3077.944824,2760.000000,4425.000000,-1665.000000,-28.791534,346.736237,14.279667,0
378, -2.617994,1.555207,1.708892,7,119,99,3074.523926,2887.000000,3607.000000,-720.000000,-147.933441,335.457214,18.313923,0
379, 1.570796,0.910508,1.903534,116,3,97,3073.361084,2842.000000,4237.000000,-1395.000000,36.157898,195.203186,30.573175,0
380, -1.308997,2.719179,-1.780644,20,6,103,3072.898682,2989.000000,4924.000000,-1935.000000,-35.526306,119.425125,20.114626,0
381, -2.879793,2.153910,-1.714959,116,113,94,3072.410156,2581.000000,4426.000000,-1845.000000,98.343842,393.066498,28.045406,0
382, -2.094395,1.128190,-2.288622,4,11,93,3071.109619,2889.000000,5634.000000,-2745.000000,209.613800,-27.504150,27.292397,0
383, -2.094395,1.696674,-1.253233,113,113,95,3070.058838,2529.000000,5274.000000,-2745.000000,204.242462,336.816345,31.769299,0
384, -0.261799,0.615174,-0.666022,18,115,104,3068.396729,2942.000000,5417.000000,-2475.000000,124.126953,2.269745,15.493711,0
385, -1.308997,2.979456,-1.009304,112,6,90,3068.235107,2948.000000,3578.000000,-630.000000,-112.158508,232.393585,35.596203,0
386, -2.617994,0.992645,-1.723759,117,9,91,3067.810303,2926.000000,4231.000000,-1305.000000,18.298370,123.511978,32.018993,0
387, -2.617994,1.904882,-1.478089,114,114,94,3067.751465,2636.000000,4526.000000,-1890.000000,25.765259,405.986450,30.395449,0
388, -1.308997,2.863997,0.549740,11,113,95,3066.399170,3143.000000,4268.000000,-1125.000000,-265.717773,189.116867,10.916698,0
389, -0.261799,2.724429,-0.348782,112,1,91,3066.178955,2688.000000,5208.000000,-2520.000000,-120.020203,498.199219,33.624111,0
390, 0.523599,2.001437,0.381215,10,113,96,3066.130859,2669.000000,5144.000000,-2475.000000,124.682068,272.448700,12.514666,0
391, 2.356194,1.256302,0.062705,7,118,96,3064.247559,2553.000000,3903.000000,-1350.000000,125.855713,385.391846,16.376480,0
392, -2.356194,0.992645,-1.723759,119,8,91,3062.901611,2833.000000,4633.000000,-1800.000000,11.490326,218.411285,29.359114,0
393, -3.141593,1.904882,-1.478089,110,117,94,3063.119873,2862.000000,3852.000000,-990.000000,-102.068939,303.188660,35.334320,0
394, 0.523599,2.456751,-1.503343,116,20,104,3061.701172,2906.000000,5156.000000,-2250.000000,306.443481,-150.742249,44.408028,0
395, 0.785398,1.168678,2.108595,6,109,101,3060.875732,2763.000000,4293.000000,-1530.000000,83.938751,213.937057,20.668665,0
396, 1.570796,1.184361,0.625864,23,2,107,3060.726074,2712.000000,3927.000000,-1215.000000,177.714752,171.011230,21.693962,0
397, -1.570796,2.579248,-2.364801,1,116,93,3059.785156,2738.000000,4943.000000,-2205.000000,-13.687164,335.472534,22.026505,0
398, 1.047198,1.014500,0.906702,4,21,110,3058.667969,3172.000000,5557.000000,-2385.000000,33.484680,-146.816772,43.356785,0
399, 0.261799,1.214854,-1.966664,10,113,96,3056.988770,2570.000000,4235.000000,-1665.000000,110.611694,376.377014,12.514666,0
400, -2.356194,1.413430,2.550734,22,8,114,3056.897949,2538.000000,3573.000000,-1035.000000,-12.114105,531.011902,32.220428,0
401, -2.879793,1.050534,3.042579,21,5,107,3056.143311,2844.000000,4959.000000,-2115.000000,19.996826,192.146530,23.131750,0
402, 0.000000,1.554776,0.100351,8,112,95,3055.586914,2586.000000,4296.000000,-1710.000000,119.157532,350.429504,14.404537,0
403, -0.785398,1.982574,-1.115518,17,1,98,3055.431152,2798.000000,4598.000000,-1800.000000,52.480011,204.951279,11.893371,0
404, 0.000000,2.404280,-0.174044,4,112,93,3055.385010,2686.000000,3811.000000,-1125.000000,131.228577,238.156403,18.517853,0
405, 0.523599,2.863997,0.549740,115,3,89,3055.378418,2422.000000,4492.000000,-2070.000000,119.539749,513.838501,30.995440,0
406, -1.308997,2.251330,-2.330739,1,116,93,3055.145020,2810.000000,4610.000000,-1800.000000,4.879852,240.265182,22.026505,0
407, -0.785398,2.396274,-1.959260,4,115,93,3054.894287,2729.000000,4304.000000,-1575.000000,77.513733,248.380569,18.364607,0
408, -1.832596,0.866395,-2.492918,2,14,94,3054.799805,3097.000000,5167.000000,-2070.000000,184.507294,-226.707428,31.673901,0
409, 0.000000,1.214854,-1.966664,117,107,96,3054.094727,3054.000000,3819.000000,-765.000000,58.255554,-58.160797,28.549982,0
410, 1.308997,1.128190,-2.288622,4,116,92,3053.763184,2693.000000,3638.000000,-945.000000,54.602585,306.160583,18.365820,0
411, -1.832596,1.128190,-2.288622,3,12,93,3053.290283,2969.000000,5039.000000,-2070.000000,203.157471,-118.867279,28.982082,0
412, 1.047198,1.374601,-2.456031,118,115,93,3053.006592,2660.000000,5225.000000,-2565.000000,251.078735,141.928040,25.519461,0
413, 1.047198,2.108018,1.311430,16,1,95,3051.130371,2666.000000,3836.000000,-1170.000000,197.414337,187.716049,10.153238,0
414, -1.308997,2.881233,-2.582574,8,3,91,3050.483643,2627.000000,3527.000000,-900.000000,29.186417,394.297058,17.099709,0
415, -2.879793,0.700570,1.559208,14,14,116,3050.248779,2605.000000,4225.000000,-1620.000000,26.151230,419.097687,38.645588,0
416, 0.523599,1.413430,2.550734,1,112,97,3050.274902,2572.000000,3697.000000,-1125.000000,34.778076,443.496918,23.044945,0
417, -2.617994,2.579248,-2.364801,10,116,93,3049.129883,2823.000000,3318.000000,-495.000000,1.095947,225.033859,11.438094,0
418, 2.879793,1.310100,1.488307,117,119,99,3048.819824,2483.000000,5498.000000,-3015.000000,136.143158,429.676880,28.808125,0
419, 2.356194,1.417623,-0.202254,8,116,96,3048.363281,2825.000000,3410.000000,-585.000000,55.621399,167.741898,14.771134,0
420, -0.785398,0.864993,2.278281,5,7,97,3047.721191,2746.000000,3646.000000,-900.000000,2.717590,299.003540,23.994301,0
421, -0.523599,1.982574,-1.115518,18,3,98,3046.831543,2983.000000,3343.000000,-360.000000,-19.991455,83.823074,13.484565,0
422, -2.617994,1.732874,-0.951685,7,108,98,3046.589600,2958.000000,3903.000000,-945.000000,101.619873,-13.030243,18.303335,0
423, 0.261799,2.478122,2.609777,7,112,95,3045.775879,2642.000000,4262.000000,-1620.000000,95.619324,308.156555,15.527444,0
424, -0.785398,1.732874,-0.951685,17,117,99,3045.119873,2755.000000,3700.000000,-945.000000,127.074310,163.045670,10.331496,0
425, 0.523599,2.247462,0.191623,11,115,94,3043.343994,2698.000000,3598.000000,-900.000000,36.224304,309.119598,10.425673,0
426, -2.617994,1.242974,-2.977882,0,19,100,3043.123779,3319.000000,4534.000000,-1215.000000,35.811371,-311.687408,39.120663,0
427, 0.523599,1.569311,-3.003978,6,113,95,3043.040527,2759.000000,3704.000000,-945.000000,-94.679184,378.719727,16.517517,0
428, 1.308997,1.982574,-1.115518,2,16,96,3042.760254,3462.000000,6027.000000,-2565.000000,-53.178833,-366.060974,33.843334,0
429, -2.617994,0.618092,2.539118,112,3,99,3041.734863,2803.000000,4648.000000,-1845.000000,-63.889191,302.624023,35.553146,0
430, 1.570796,2.356369,3.005869,117,3,91,3041.126465,2817.000000,3402.000000,-585.000000,2.419113,221.707199,28.644691,0
431, 1.832596,1.045978,0.343692,15,4,97,3040.757080,2820.000000,4215.000000,-1395.000000,293.805115,-73.048096,14.614726,0
432, 0.000000,2.295480,1.008277,4,110,95,3040.279297,2779.000000,4579.000000,-1800.000000,57.920410,203.358887,19.426331,0
433, 1.570796,2.664082,-1.071402,10,117,93,3040.268311,2499.000000,3939.000000,-1440.000000,162.157166,379.111145,11.729702,0
434, -0.523599,1.050534,3.042579,118,113,97,3039.143066,2692.000000,4042.000000,-1350.000000,275.992523,71.150574,26.386700,0
435, 0.785398,0.910508,1.903534,11,7,98,3038.322754,3045.000000,4260.000000,-1215.000000,9.525970,-16.203156,20.023308,0
436, -0.523599,1.732874,-0.951685,18,1,99,3037.398926,2785.000000,4180.000000,-1395.000000,78.414978,173.983948,12.559983,0
437, -0.261799,1.732874,-0.951685,18,3,99,3037.204102,2729.000000,4394.000000,-1665.000000,177.655945,130.548126,14.245880,0
438, 1.047198,2.073035,2.027405,117,116,94,3036.811523,2695.000000,4180.000000,-1485.000000,-14.734344,356.545898,26.911745,0
439, 2.879793,2.760637,2.781135,13,116,96,3035.950195,2651.000000,4091.000000,-1440.000000,120.832458,264.117737,9.660863,0
440, -1.308997,0.831641,0.616218,116,6,97,3034.189697,2990.000000,4835.000000,-1845.000000,-108.453674,152.643280,32.001671,0
441, 1.047198,1.846342,-1.796954,115,4,90,3032.990723,2905.000000,3985.000000,-1080.000000,-13.871109,141.861923,31.350042,0
442, 2.879793,1.696674,-1.253233,14,114,101,3032.180420,2907.000000,5067.000000,-2160.000000,89.915344,35.265076,13.329939,0
443, -0.523599,1.766067,2.153843,112,14,101,3028.124023,2724.000000,4029.000000,-1305.000000,356.768860,-52.644760,42.063816,0
444, -1.570796,2.033014,2.977192,11,112,108,3027.583252,2849.000000,3614.000000,-765.000000,129.574402,49.008850,22.598873,0
445, -2.094395,1.014500,0.906702,110,5,95,3027.510498,2562.000000,4272.000000,-1710.000000,165.845520,299.665100,37.627571,0
446, -2.879793,1.195355,1.200319,12,0,103,3026.740723,2874.000000,4494.000000,-1620.000000,25.055969,127.684937,18.021879,0
447, 0.523599,1.134796,2.434290,1,112,98,3025.491699,2541.000000,3441.000000,-900.000000,50.851807,433.639954,23.437164,0
448, 0.000000,0.685216,-1.712745,11,110,100,3025.457275,2895.000000,4920.000000,-2025.000000,30.016541,100.440735,15.272994,0
449, 1.047198,1.025536,1.576859,2,14,101,3024.497070,3032.000000,4157.000000,-1125.000000,71.136353,-78.639221,33.628216,0
450, -0.261799,2.001437,0.381215,13,109,98,3024.333740,2666.000000,3746.000000,-1080.000000,147.312744,211.021072,12.659523,0
451, 0.261799,0.571433,-1.188419,17,116,101,3024.305176,2829.000000,4944.000000,-2115.000000,148.109863,47.195221,12.281978,0
452, -2.617994,2.174483,2.653697,113,14,94,3023.748535,3002.000000,3767.000000,-765.000000,-47.553345,69.301804,39.559219,0
453, -1.832596,2.579248,-2.364801,119,116,93,3024.215332,2674.000000,4654.000000,-1980.000000,23.329895,326.885498,24.404680,0
454, 0.523599,2.089241,-0.114193,5,113,93,3023.612061,2730.000000,3720.000000,-990.000000,121.871490,171.740509,17.201622,0
455, -2.094395,1.875281,0.107086,9,108,105,3023.328613,2432.000000,4547.000000,-2115.000000,375.441467,215.887253,21.884512,0
456, -2.356194,1.417623,-0.202254,116,16,96,3022.186279,2974.000000,3694.000000,-720.000000,273.667877,-225.481674,38.651199,0
457, -0.523599,1.391910,3.030322,0,114,96,3021.312988,2808.000000,4473.000000,-1665.000000,18.138458,195.174606,23.724272,0
458, 1.570796,2.033014,2.977192,5,110,96,3020.459229,2740.000000,3865.000000,-1125.000000,63.989227,216.470047,18.644115,0
459, -3.141593,2.174483,2.653697,119,15,94,3020.422363,3140.000000,4850.000000,-1710.000000,13.096588,-132.674225,34.973480,0
460, 1.047198,1.875281,0.107086,117,18,105,3018.673828,3343.000000,7348.000000,-4005.000000,6.163818,-330.489990,42.450699,0
461, 1.570796,1.256302,0.062705,8,117,95,3018.777100,2680.000000,3805.000000,-1125.000000,38.209686,300.567444,14.576373,0
462, -2.617994,0.674054,1.013609,14,12,116,3016.280029,2516.000000,5216.000000,-2700.000000,-25.857483,526.137390,37.214642,0
463, -1.047198,1.599406,1.426070,115,14,102,3015.866699,2891.000000,3926.000000,-1035.000000,174.070648,-49.203735,39.715546,0
464, 0.523599,0.929350,-2.910676,107,112,101,3015.487305,2291.000000,5126.000000,-2835.000000,158.449127,566.038147,40.449322,0
465, 0.785398,1.766067,2.153843,2,112,97,3014.829346,2572.000000,4777.000000,-2205.000000,35.198425,407.630890,21.912985,0
466, 1.047198,2.164094,-2.991358,119,15,111,3013.816406,2654.000000,3689.000000,-1035.000000,169.505798,190.310623,42.164940,0
467, 0.261799,2.393226,1.857173,11,111,98,3010.626221,2816.000000,5606.000000,-2790.000000,-17.161011,211.787323,13.328055,0
468, 1.047198,2.704512,1.488683,119,4,88,3009.738281,2519.000000,3914.000000,-1395.000000,-4.654434,495.392883,27.201441,0
469, -3.141593,1.683268,0.374177,108,116,99,3009.036377,2792.000000,4277.000000,-1485.000000,-71.967529,289.003845,38.630264,0
470, 1.832596,1.606104,-0.451151,117,21,108,3007.162842,3021.000000,5136.000000,-2115.000000,196.929199,-210.766418,46.405849,0
471, -0.523599,1.045978,0.343692,118,7,97,3006.081543,2742.000000,4407.000000,-1665.000000,129.603149,134.478485,30.528049,0
472, -0.523599,2.393226,1.857173,0,112,93,3005.058105,2622.000000,4242.000000,-1620.000000,6.876007,376.182220,23.253250,0
473, 0.785398,1.736875,3.023612,2,15,110,3004.200684,2951.000000,3851.000000,-900.000000,217.421631,-164.220978,39.508198,0
474, -2.094395,1.836682,-0.676006,10,107,101,3004.036621,2852.000000,3707.000000,-855.000000,5.707458,146.328979,18.274529,0
475, 2.617994,0.379747,-1.713059,17,0,101,3003.801025,2884.000000,4639.000000,-1755.000000,-38.127808,157.929001,13.969646,0
476, 0.785398,1.836682,-0.676006,12,118,91,3003.659180,2558.000000,3413.000000,-855.000000,176.896591,268.762665,9.766120,0
477, -2.356194,1.732874,-0.951685,8,108,98,3003.613770,2753.000000,3788.000000,-1035.000000,141.932953,108.680923,17.360916,0
478, -0.523599,1.310100,1.488307,13,114,101,3002.933105,2743.000000,3958.000000,-1215.000000,53.486542,206.446487,13.929041,0
479, -0.261799,1.025536,1.576859,118,118,95,3002.743652,3029.000000,4964.000000,-1935.000000,-69.464996,43.208740,26.226219,0
480, 0.261799,0.297065,2.160177,15,14,117,3001.550781,2486.000000,3701.000000,-1215.000000,75.000336,440.550446,39.407890,0
481, -0.523599,1.367556,0.358405,106,9,97,3001.330078,2891.000000,3971.000000,-1080.000000,384.140442,-273.810303,44.167004,0
482, 1.832596,1.998705,2.370472,12,117,96,3001.359863,2712.000000,3522.000000,-810.000000,6.130066,283.229675,10.922408,0
483, 1.308997,0.910508,1.903534,8,111,103,3001.206299,2663.000000,5273.000000,-2610.000000,230.256470,107.950012,19.888376,0
484, 0.261799,1.554776,0.100351,16,114,97,3001.043945,2713.000000,3748.000000,-1035.000000,90.269623,197.774536,7.966141,0
485, 2.617994,1.699788,2.452890,108,1,102,3000.516357,2513.000000,3368.000000,-855.000000,300.869598,186.646622,40.441216,0
486, -0.523599,1.195355,1.200319,3,7,99,2999.723877,3058.000000,6433.000000,-3375.000000,-27.027222,-31.248810,26.503807,0
487, 2.094395,1.433411,-1.035986,117,114,96,2999.433838,2648.000000,4673.000000,-2025.000000,147.303711,204.130142,27.229277,0
488, 0.785398,2.760637,2.781135,9,109,96,2999.124512,3188.000000,3953.000000,-765.000000,-175.606140,-13.269348,14.859461,0
489, 2.879793,0.379747,-1.713059,9,19,101,2998.176758,3315.000000,5655.000000,-2340.000000,14.410339,-331.233765,34.308025,0
490, 2.879793,1.569311,-3.003978,20,119,103,2998.157227,2988.000000,4113.000000,-1125.000000,-84.161865,94.319122,15.373550,0
491, 2.356194,2.349581,-2.702517,107,6,107,2996.455811,2758.000000,4153.000000,-1395.000000,183.741699,54.714172,45.312691,0
492, 2.617994,1.506530,1.988858,115,116,101,2996.722168,2258.000000,4508.000000,-2250.000000,389.160095,349.562134,31.389889,0
493, 0.785398,2.396274,-1.959260,6,114,92,2996.645020,2675.000000,3305.000000,-630.000000,4.231049,317.414032,15.836967,0
494, -1.832596,2.041297,-2.664597,114,114,97,2996.264648,2959.000000,5029.000000,-2070.000000,-29.674316,66.938843,31.004801,0
495, 2.617994,1.948085,-2.363031,4,117,92,2996.054688,2481.000000,4596.000000,-2115.000000,67.159409,447.895203,18.548834,0
496, -2.356194,1.554776,0.100351,0,115,94,2995.720947,2690.000000,3005.000000,-315.000000,2.594238,303.126801,23.276028,0
497, -0.785398,0.910508,1.903534,5,6,99,2995.497559,2622.000000,5907.000000,-3285.000000,98.237946,275.259583,24.073090,0
498, -2.094395,1.433411,-1.035986,108,113,97,2995.027832,2795.000000,3785.000000,-990.000000,-7.729523,207.757385,38.078415,0
499, -1.832596,0.700570,1.559208,118,5,97,2994.821533,2758.000000,4153.000000,-1395.000000,19.015717,217.805817,29.389286,0
500, -3.141593,0.458961,-0.107937,10,113,107,2994.685303,3039.000000,4344.000000,-1305.000000,45.901123,-90.215881,21.997368,0
501, -2.356194,0.496451,0.593859,14,10,117,2994.439941,2359.000000,5464.000000,-3105.000000,23.079269,612.360474,36.889683,0
502, 1.832596,1.741644,-2.695914,7,113,94,2994.460449,2775.000000,3900.000000,-1125.000000,-28.321884,247.782120,15.058084,0
503, 1.308997,2.579248,-2.364801,4,111,93,2994.354736,2551.000000,4756.000000,-2205.000000,41.266174,402.088562,18.723106,0
504, 2.879793,1.195355,1.200319,3,117,100,2993.961914,2929.000000,5674.000000,-2745.000000,37.240662,27.721283,22.371469,0
505, -1.308997,2.588535,-2.976617,12,1,96,2992.909424,2754.000000,3339.000000,-585.000000,119.382050,119.527344,13.233415,0
506, 2.879793,1.658653,-2.409879,7,1,91,2992.651367,2652.000000,3552.000000,-900.000000,35.554642,305.096649,16.757654,0
507, -2.356194,1.135813,-2.658866,116,19,99,2991.609619,3071.000000,4151.000000,-1080.000000,161.650513,-241.040710,41.836807,0
508, -0.261799,1.554776,0.100351,5,111,94,2990.398193,2590.000000,3670.000000,-1080.000000,136.769028,263.629120,17.748674,0
509, -1.832596,2.001437,0.381215,14,7,110,2989.354004,2880.000000,4635.000000,-1755.000000,-37.326172,146.680237,28.048532,0
510, 2.356194,1.948085,-2.363031,2,113,93,2988.156738,2792.000000,3782.000000,-990.000000,-25.506622,221.663208,20.767479,0
511, -2.094395,1.909857,-0.381669,117,14,94,2988.072510,3059.000000,4409.000000,-1350.000000,151.440735,-222.368149,35.867668,0
512, 0.523599,1.721184,-0.153948,16,116,95,2987.658447,2906.000000,3626.000000,-720.000000,-5.632904,87.291351,6.364611,0
513, 1.570796,0.290380,-0.796960,16,119,99,2987.525391,2579.000000,2894.000000,-315.000000,186.042877,222.482513,11.686859,0
514, -3.141593,2.041297,-2.664597,18,117,100,2987.117432,3181.000000,4306.000000,-1125.000000,-92.090881,-101.791840,11.221437,0
515, 2.617994,1.168678,2.108595,116,1,97,2987.090332,2612.000000,3242.000000,-630.000000,199.303070,175.787338,29.824940,0
516, -2.356194,1.909857,-0.381669,16,9,109,2986.111816,2504.000000,4169.000000,-1665.000000,56.336456,425.775269,28.100880,0
517, -2.617994,2.180315,-1.357379,113,111,96,2985.590576,2702.000000,4052.000000,-1350.000000,-1.204468,284.795166,32.158485,0
518, -2.094395,2.456751,-1.503343,119,18,98,2985.378662,3315.000000,5250.000000,-1935.000000,248.291382,-577.912903,38.364811,0
519, 1.308997,0.866955,-0.931351,10,9,92,2984.716553,2855.000000,3845.000000,-990.000000,111.005310,18.711273,20.963448,0
520, 0.000000,0.297065,2.160177,16,12,117,2984.440918,2363.000000,5243.000000,-2880.000000,53.623779,567.817139,37.866314,0
521, -0.523599,1.998705,2.370472,108,16,115,2981.468506,2449.000000,4429.000000,-1980.000000,263.470062,268.998596,53.889530,0
522, 2.094395,0.906588,1.252948,118,1,98,2980.761963,2414.000000,5024.000000,-2610.000000,154.669128,412.092712,27.929506,0
523, -2.094395,2.063651,-2.044600,106,16,109,2980.582031,2821.000000,4441.000000,-1620.000000,323.695007,-164.112915,52.244003,0
524, -1.570796,1.135834,-1.431087,119,108,97,2979.353760,2786.000000,4001.000000,-1215.000000,241.539734,-48.186127,26.255426,0
525, -0.523599,2.251330,-2.330739,9,116,95,2977.881348,2876.000000,3596.000000,-720.000000,-18.121887,120.003265,13.228148,0
526, -0.261799,0.418037,1.360082,116,117,99,2977.007324,2517.000000,3822.000000,-1305.000000,238.827087,221.180099,29.547363,0
527, -2.879793,0.709924,0.218797,116,17,100,2976.587402,2971.000000,4141.000000,-1170.000000,276.990723,-271.403381,40.459332,0
528, 2.094395,2.108018,1.311430,2,18,98,2976.294922,3151.000000,4636.000000,-1485.000000,78.424927,-253.129761,36.201469,0
529, 1.570796,0.831641,0.616218,11,3,97,2974.512207,2641.000000,4486.000000,-1845.000000,24.523987,308.988159,16.054827,0
530, 1.570796,1.374601,-2.456031,15,113,97,2974.501953,2664.000000,3114.000000,-450.000000,40.957733,269.544067,8.712875,0
531, -2.617994,2.104282,-0.813972,17,116,108,2974.140381,2566.000000,3376.000000,-810.000000,137.632431,270.508026,20.483849,0
532, 0.785398,0.906588,1.252948,113,109,107,2973.799316,2691.000000,4446.000000,-1755.000000,96.275696,186.523697,37.220470,0
533, 1.047198,2.760637,2.781135,9,110,95,2973.592285,2799.000000,4149.000000,-1350.000000,36.702423,137.889954,13.961657,0
534, 0.261799,2.001437,0.381215,13,112,98,2973.262451,2700.000000,5355.000000,-2655.000000,16.993225,256.269348,11.344225,0
535, 0.785398,1.128190,-2.288622,2,109,95,2971.651367,2621.000000,4331.000000,-1710.000000,340.147766,10.503571,21.998348,0
536, 2.617994,2.187132,-0.479875,116,116,91,2971.305420,2672.000000,3662.000000,-990.000000,28.236969,271.068420,27.893324,0
537, 0.000000,1.168678,2.108595,106,110,109,2970.637695,2656.000000,3466.000000,-810.000000,4.279266,310.358307,45.464928,0
538, 0.261799,2.719179,-1.780644,0,114,92,2970.639648,2744.000000,4319.000000,-1575.000000,-10.392792,237.032578,23.026819,0
539, 2.356194,1.134796,2.434290,17,15,115,2970.229980,2401.000000,3931.000000,-1530.000000,83.089584,486.140381,38.082737,0
540, -2.617994,0.864993,2.278281,118,13,97,2970.262695,2760.000000,3885.000000,-1125.000000,225.096527,-14.833618,34.724297,0
541, 0.523599,2.251330,-2.330739,4,112,93,2968.533936,2676.000000,3801.000000,-1125.000000,63.010193,229.523712,18.517853,0
542, 2.094395,1.256302,0.062705,18,16,113,2968.245117,2644.000000,3499.000000,-855.000000,30.406113,293.839233,37.087143,0
543, -0.785398,0.419640,2.974122,16,12,118,2967.405273,2458.000000,3403.000000,-945.000000,57.869247,451.536041,38.854721,0
544, 0.000000,0.899350,-2.069907,115,112,94,2966.333252,2472.000000,3372.000000,-900.000000,173.036682,321.296570,29.316889,0
545, 0.785398,2.664082,-1.071402,2,114,92,2965.729004,2744.000000,4319.000000,-1575.000000,45.103638,176.625397,20.629419,0
546, 2.879793,0.866955,-0.931351,17,116,110,2965.516602,2483.000000,3653.000000,-1170.000000,110.975708,371.540924,22.853691,0
547, -2.094395,2.180315,-1.357379,118,17,96,2964.624268,3324.000000,4719.000000,-1395.000000,186.305664,-545.681335,37.822865,0
548, -0.785398,1.417623,-0.202254,5,2,92,2963.979980,2763.000000,4293.000000,-1530.000000,71.722961,129.257095,19.462492,0
549, 0.261799,2.108018,1.311430,14,115,96,2963.261719,2616.000000,3561.000000,-945.000000,79.165497,268.096069,8.551343,0
550, 2.356194,1.696674,-1.253233,1,17,94,2963.515869,3111.000000,3471.000000,-360.000000,95.521133,-243.005356,35.193104,0
551, -3.141593,0.496451,0.593859,11,1,101,2962.793457,2756.000000,3251.000000,-495.000000,155.928650,50.864746,17.400337,0
552, -2.879793,1.218453,2.777284,115,115,102,2962.364746,2852.000000,4607.000000,-1755.000000,59.013184,51.351562,31.799377,0
553, 0.000000,2.187132,-0.479875,0,113,92,2962.188965,2685.000000,3540.000000,-855.000000,79.148621,198.040329,23.067684,0
554, -2.879793,2.579248,-2.364801,10,117,93,2961.349854,2529.000000,4104.000000,-1575.000000,7.451736,424.898224,11.729702,0
555, 1.308997,0.496451,0.593859,116,3,96,2959.948242,2416.000000,3856.000000,-1440.000000,43.374298,500.574097,30.321074,0
556, -2.617994,2.984978,1.954446,6,22,107,2959.115234,2661.000000,4281.000000,-1620.000000,135.330627,162.784760,41.559734,0
557, -3.141593,2.033014,2.977192,22,1,117,2958.206055,2419.000000,4624.000000,-2205.000000,-39.709961,578.916016,32.245903,0
558, 0.785398,0.419640,2.974122,8,18,110,2958.103760,3052.000000,5302.000000,-2250.000000,186.647888,-280.544128,38.847122,0
559, 1.570796,0.203748,0.590255,3,117,100,2957.748291,2588.000000,5423.000000,-2835.000000,228.550110,141.198242,22.371469,0
560, -2.094395,0.906588,1.252948,1,112,101,2957.508301,2465.000000,5075.000000,-2610.000000,138.247467,354.260620,24.925406,0
561, -1.832596,1.696674,-1.253233,113,112,95,2957.650391,2681.000000,4616.000000,-1935.000000,33.726440,242.923828,31.844193,0
562, 1.832596,2.356369,3.005869,118,3,91,2957.097900,2713.000000,3388.000000,-675.000000,-17.701477,261.799225,27.533754,0
563, 1.047198,2.063651,-2.044600,20,114,108,2956.522949,2659.000000,5134.000000,-2475.000000,9.044464,288.478607,20.221867,0
564, 2.094395,1.134796,2.434290,19,13,115,2956.249756,2465.000000,3725.000000,-1260.000000,20.274857,470.974792,36.458748,0
565, -0.785398,1.014500,0.906702,14,108,107,2955.798584,2751.000000,4146.000000,-1395.000000,161.216675,43.581726,21.304958,0
566, -1.570796,1.555207,1.708892,7,113,100,2955.136719,2481.000000,3471.000000,-990.000000,61.440735,412.696045,18.096836,0
567, 0.523599,1.554776,0.100351,17,117,97,2955.056152,2762.000000,4112.000000,-1350.000000,30.088562,162.967499,8.209544,0
568, 0.785398,2.456751,-1.503343,2,17,98,2954.976074,3419.000000,5804.000000,-2385.000000,-7.775208,-456.248840,35.260612,0
569, 0.523599,1.998705,2.370472,2,15,108,2953.843750,3022.000000,4192.000000,-1170.000000,261.887695,-330.043976,38.186314,0
570, -1.047198,2.174483,2.653697,113,19,114,2953.645264,2767.000000,5647.000000,-2880.000000,214.559753,-27.914459,51.242035,0
571, -2.356194,0.733948,3.021411,117,115,101,2952.887939,2737.000000,4132.000000,-1395.000000,-36.661438,252.549423,29.120214,0
