DIFFUSION COEFFICIENT ESTIMATE
INPUT:
Trajectory: memtox2dprotein.dat
Number of dimensions : 2
Min/max timestep: 10/100
Number of segments: 20
Total number of trajectory data points per dim.: 200009
Data points per segment and dim.: 10000
Your chosen diffusion coefficient at 5 ps: 1.9689570536523056e-05 nm^2/ps
DIFFUSION COEFFICIENT OUTPUT SUMMARY:
t[ps] D[nm^2/ps] varD[nm^4/ps^2] Q
44.0000 [2.31002080e-05 2.23796718e-05]
45.0000 [2.22921153e-05 2.19326526e-05]
46.0000 [2.26311390e-05 2.28557342e-05]
47.0000 [2.24570969e-05 2.19957091e-05]
48.0000 [2.22454366e-05 2.15228227e-05]
49.0000 [2.17116472e-05 2.24249239e-05]
50.0000 [2.18505108e-05 2.18588827e-05]
51.0000 [2.25319857e-05 2.20359910e-05]
52.0000 [2.24789034e-05 2.19117831e-05]
53.0000 [2.20590973e-05 2.21767259e-05]
54.0000 [2.17169187e-05 2.14538989e-05]
55.0000 [2.16726776e-05 2.11879278e-05]
56.0000 [2.15097834e-05 2.13798490e-05]
57.0000 [2.20563802e-05 2.08907932e-05]
58.0000 [2.13998434e-05 2.08874441e-05]
59.0000 [2.06045810e-05 2.15786492e-05]
60.0000 [2.15230427e-05 2.11095196e-05]
61.0000 [2.16651406e-05 2.17054079e-05]
62.0000 [2.02917762e-05 2.06608393e-05]
63.0000 [2.12412859e-05 2.12572735e-05]
64.0000 [2.14773578e-05 2.18738442e-05]
65.0000 [2.08474375e-05 2.03847829e-05]
66.0000 [2.08606653e-05 2.06435210e-05]
67.0000 [2.09233838e-05 2.12143809e-05]
68.0000 [2.04988216e-05 2.02188772e-05]
69.0000 [2.0417594e-05 2.0201520e-05]
70.0000 [2.01656480e-05 2.06659514e-05]
71.0000 [1.98555492e-05 2.02342855e-05]
72.0000 [2.10314746e-05 2.05849554e-05]
73.0000 [2.04723474e-05 2.15456227e-05]
74.0000 [2.10428167e-05 2.07707864e-05]
75.0000 [2.07215370e-05 2.08258715e-05]
76.0000 [2.11642222e-05 2.06413384e-05]
77.0000 [1.99818439e-05 2.06407249e-05]
78.0000 [2.04618082e-05 2.03583542e-05]
79.0000 [2.04664144e-05 2.04429232e-05]
80.0000 [1.98795765e-05 1.97623908e-05]
81.0000 [2.09971689e-05 2.05415382e-05]
82.0000 [1.95977475e-05 2.07764370e-05]
83.0000 [1.89896718e-05 2.02792529e-05]
84.0000 [1.91293496e-05 2.04884027e-05]
85.0000 [2.00578231e-05 1.92685400e-05]
86.0000 [2.00274155e-05 2.04775573e-05]
87.0000 [1.96440237e-05 2.01427378e-05]
88.0000 [2.09786279e-05 2.03568322e-05]
89.0000 [2.01984980e-05 1.99674561e-05]
90.0000 [2.01243277e-05 1.93648134e-05]
91.0000 [1.97107051e-05 1.98475949e-05]
92.0000 [1.89136347e-05 2.04655064e-05]
93.0000 [1.9716420e-05 2.1201155e-05]
94.0000 [2.00801182e-05 2.00444838e-05]
95.0000 [1.93085576e-05 2.02608030e-05]
96.0000 [1.94125445e-05 2.02901572e-05]
97.0000 [1.94595157e-05 2.00236710e-05]
98.0000 [1.98884483e-05 2.00835006e-05]
99.0000 [2.02421215e-05 2.10824760e-05]
100.0000 [1.92979626e-05 1.98315619e-05]
